id,teff,logg,feh
spec-56660-HD121616S031407V01_sp09-234.fits,3939.64,0.876871,-0.358692
spec-56592-HD003103N554209V01_sp11-118.fits,4502.34,2.43234,0.2237
spec-56230-EG231518N122615V01_sp09-216.fits,4648.04,2.66114,-0.0753378
spec-56094-kepler05B56094_sp14-207.fits,4723.19,2.59909,0.0698146
spec-56590-GAC066N53V3_sp02-174.fits,4794.05,2.65121,-0.166739
spec-56573-KP185031N425443V01_sp04-049.fits,4858.93,3.34409,0.377144
spec-56570-KP190808N440210V01_sp15-154.fits,4927.8,3.09876,-0.111831
spec-56595-HD213801N410452V01_sp12-235.fits,5023.28,2.99304,0.248402
spec-56798-KP192314N471144V01_sp09-013.fits,5808.72,3.59741,-0.264787
spec-56798-KP192314N471144V01_sp09-013.fits,5808.72,3.59741,-0.264787
spec-56667-GAC094N35V4_sp01-195.fits,4587.85,2.17835,-0.285761
spec-56618-VB057N34V1_sp02-033.fits,4803.72,2.67813,-0.030029
spec-56807-KP185111N464417V02_sp15-222.fits,4790.86,2.79926,-0.117686
spec-56699-GAC085N52V2_sp04-070.fits,4943.74,2.98859,-0.0114662
spec-56811-KP190339N395439V02_sp04-055.fits,4997.06,3.20415,-0.350204
spec-56811-KP190339N395439V02_sp04-055.fits,4997.06,3.20415,-0.350204
spec-56562-KP192102N424113V02_sp08-008.fits,4589.84,1.34107,-1.8498
spec-56432-KP192102N424113V01_sp10-041.fits,4492.27,2.19249,-0.408009
spec-56777-VB171N03V2_sp04-213.fits,4795.55,2.871,-0.282176
spec-56807-KP185111N464417V03_sp15-043.fits,5053.37,3.34352,-0.166967
spec-56582-GAC094N35V1_sp01-107.fits,5029.85,2.92973,-0.0781528
spec-56561-KP195920N454621V02_sp15-159.fits,4731.26,2.57811,0.0149328
spec-56561-KP195920N454621V01_sp08-034.fits,4096.91,1.61058,0.0980229
spec-56562-KP192102N424113V02_sp10-194.fits,4988.69,3.26255,0.192761
spec-56642-VB136N01V1_sp16-032.fits,4556.45,2.52233,0.412905
